fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at;cycle_phase;cycle_factor
0,19;0,33;0,25;0;7783265;10078911;10163407;540139653;11572453;1398362;2024-11-09 15:56:59.026;0.476;0.152
0,21;0,28;0,20;0;7765081;10080510;10160478;540928018;11582148;1397393;2024-11-09 15:58:44.072;0.476;0.150
0,21;0,34;0,29;1;7773394;10077355;10148929;537126885;11324300;1358593;2024-11-09 16:02:28.078;0.476;0.149
0,20;0,27;0,29;0;7773331;10078797;10153062;536890181;11246111;1355798;2024-11-09 16:04:23.237;0.476;0.148
0,24;0,24;0,26;0;7774294;10078703;10158061;529692239;11328343;1360918;2024-11-09 16:05:35.797;0.477;0.147
0,26;0,27;0,26;1;7778337;10078398;10161475;531082340;11265242;1362450;2024-11-09 16:07:29.850;0.477;0.145
0,29;0,27;0,26;0;7784687;10079314;10162570;538599136;11270226;1355100;2024-11-09 16:09:48.470;0.477;0.144
0,18;0,26;0,30;0;7785471;10077390;10167431;528988720;11257807;1355379;2024-11-09 16:10:39.153;0.477;0.143
0,29;0,28;0,23;0;7774284;10078411;10155491;526926733;11227012;1356271;2024-11-09 16:14:28.731;0.477;0.142
0,17;0,25;0,24;1;7783262;10078515;10162835;530179852;11261154;1353471;2024-11-09 16:15:12.546;0.478;0.140
0,32;0,28;0,19;0;7766812;10079122;10153140;525414299;11244210;1350911;2024-11-09 16:17:59.338;0.478;0.139
0,24;0,22;0,24;0;7772656;10078500;10162669;529554422;11301565;1351211;2024-11-09 16:20:50.719;0.478;0.138
0,22;0,24;0,23;0;7773559;10077672;10161743;538388115;11229065;1357138;2024-11-09 16:20:50.848;0.478;0.137
0,27;0,27;0,28;0;7776483;10079131;10162883;533450140;11245638;1357034;2024-11-09 16:22:55.308;0.478;0.135
0,32;0,24;0,26;0;7775599;10080527;10157310;542861348;11243204;1355926;2024-11-09 16:25:31.523;0.479;0.134
0,26;0,23;0,26;3;7763361;10078597;10152566;533501856;11223438;1347748;2024-11-09 16:26:33.422;0.479;0.133
0,29;0,24;0,22;1;7759603;10077616;10158186;533500905;11241807;1352322;2024-11-09 16:29:25.369;0.479;0.132
0,23;0,23;0,21;0;7776016;10078957;10155618;529587246;11234674;1351580;2024-11-09 16:32:19.472;0.479;0.131
0,19;0,17;0,23;0;7776232;10079328;10159272;530925862;11259349;1345997;2024-11-09 16:34:55.704;0.479;0.129
0,20;0,22;0,23;3;7753262;10079050;10164494;524394935;11251804;1349679;2024-11-09 16:35:52.725;0.480;0.128
0,31;0,26;0,23;1;7765160;10080206;10166172;531881051;11255697;1350247;2024-11-09 16:38:58.021;0.480;0.127
0,24;0,29;0,27;0;7759651;10077879;10166998;532531932;11159338;1345142;2024-11-09 16:39:57.672;0.480;0.126
0,33;0,24;0,29;0;7767022;10078854;10157369;530253240;11233221;1349513;2024-11-09 16:41:29.906;0.480;0.124
0,26;0,31;0,29;0;7776023;10077279;10157565;537949251;11234812;1340134;2024-11-09 16:42:31.533;0.480;0.123
0,22;0,24;0,23;3;7777624;10078158;10159163;536270932;11156754;1346065;2024-11-09 16:45:57.223;0.481;0.122
0,25;0,28;0,29;0;7770238;10079799;10163371;522250847;11204077;1339579;2024-11-09 16:47:17.695;0.481;0.121
0,29;0,25;0,28;0;7760177;10079098;10161226;531363394;11221499;1342196;2024-11-09 16:50:00.303;0.481;0.119
0,24;0,21;0,24;0;7775160;10079233;10151403;530405177;11128120;1342196;2024-11-09 16:50:48.115;0.481;0.118
0,25;0,24;0,24;0;7788991;10078432;10154405;527602928;11185236;1339927;2024-11-09 16:53:13.096;0.481;0.117
0,22;0,31;0,24;0;7764959;10076323;10146067;530662889;11134026;1338514;2024-11-09 16:55:23.705;0.482;0.116
0,23;0,24;0,22;0;7777859;10079526;10155850;532353890;11177615;1335225;2024-11-09 16:56:30.497;0.482;0.114
0,15;0,25;0,26;0;7764421;10078244;10152429;521493465;10880129;1294316;2024-11-09 17:00:49.508;0.482;0.113
0,27;0,23;0,23;1;7757791;10077558;10152002;513622704;10904474;1296630;2024-11-09 17:01:28.602;0.482;0.112
0,22;0,20;0,22;3;7781362;10076783;10151610;523266206;10858469;1291826;2024-11-09 17:04:34.692;0.483;0.109
0,27;0,18;0,16;0;7767373;10076378;10151858;517085282;10843289;1288652;2024-11-09 17:04:36.242;0.482;0.111
0,21;0,23;0,28;1;7757505;10077639;10147262;521768744;10847422;1290936;2024-11-09 17:08:32.526;0.483;0.108
0,16;0,25;0,25;1;7766118;10077565;10151325;515875678;10874525;1288981;2024-11-09 17:08:48.632;0.483;0.107
0,29;0,25;0,23;1;7768628;10077775;10152380;514948149;10856201;1288731;2024-11-09 17:12:55.250;0.483;0.106
0,26;0,27;0,29;0;7781212;10077729;10144990;511852972;10813846;1289987;2024-11-09 17:13:55.643;0.483;0.105
0,16;0,23;0,24;1;7768383;10077913;10146467;518724978;10835943;1284976;2024-11-09 17:14:30.534;0.484;0.103
0,30;0,23;0,23;0;7770308;10079014;10148242;512719226;10845083;1285451;2024-11-09 17:17:54.592;0.484;0.102
0,19;0,28;0,21;1;7759340;10079055;10152071;517223306;10859103;1286589;2024-11-09 17:19:47.173;0.484;0.101
0,21;0,20;0,25;0;7768448;10077468;10145959;510856631;10795443;1287048;2024-11-09 17:20:46.065;0.484;0.100
0,21;0,27;0,27;0;7802866;10078096;10152220;515445052;10776570;1280839;2024-11-09 17:23:20.994;0.484;0.098
0,22;0,15;0,22;0;7777858;10077653;10142076;516130990;10770047;1281770;2024-11-09 17:26:54.616;0.485;0.097
0,14;0,20;0,24;2;7764780;10078073;10144968;519325263;10743866;1282022;2024-11-09 17:28:55.457;0.485;0.096
0,20;0,23;0,26;0;7767581;10077438;10143107;516964503;10736376;1284453;2024-11-09 17:30:34.400;0.485;0.095
0,20;0,19;0,26;1;7772335;10076641;10151175;518214719;10740353;1278914;2024-11-09 17:31:04.499;0.485;0.093
0,14;0,19;0,22;0;7766531;10078937;10151107;514265090;10742610;1277801;2024-11-09 17:33:21.716;0.485;0.092
0,20;0,19;0,21;3;7765127;10076383;10156314;514503453;10793960;1281681;2024-11-09 17:34:57.219;0.486;0.091
0,15;0,17;0,25;0;7781208;10075188;10155662;511521253;10762730;1275943;2024-11-09 17:36:48.447;0.486;0.090
0,11;0,29;0,29;0;7770064;10077213;10142969;501864142;10741800;1279817;2024-11-09 17:40:48.788;0.486;0.088
0,23;0,22;0,23;0;7751196;10076188;10136397;511825775;10706419;1276780;2024-11-09 17:41:58.304;0.486;0.087
0,16;0,13;0,22;0;7771350;10078097;10151131;512609038;10743471;1271054;2024-11-09 17:44:51.317;0.486;0.086
0,16;0,32;0,26;0;7780854;10076935;10148968;522247050;10794360;1279645;2024-11-09 17:45:50.934;0.487;0.085
0,16;0,17;0,29;0;7731374;10077887;10146795;508997656;10710111;1273199;2024-11-09 17:47:34.933;0.487;0.083
0,14;0,33;0,29;0;7762677;10076064;10144457;513524041;10709652;1271646;2024-11-09 17:51:00.972;0.487;0.082
0,25;0,22;0,21;0;7754325;10078271;10146508;510714820;10731398;1269684;2024-11-09 17:52:13.733;0.487;0.081
0,23;0,19;0,21;0;7748247;10078555;10141128;521015939;10709715;1272032;2024-11-09 17:53:35.789;0.487;0.080
0,21;0,14;0,27;1;7765514;10078002;10143318;506718493;10706371;1276120;2024-11-09 17:55:34.555;0.487;0.078
0,23;0,17;0,23;0;7773498;10077747;10146767;518515644;10691876;1274540;2024-11-09 17:57:21.989;0.488;0.077
0,17;0,19;0,24;0;7750964;10078336;10142621;504574072;10351603;1220577;2024-11-09 18:00:14.220;0.488;0.076
0,19;0,23;0,17;0;7763571;10077670;10145688;505429231;10369589;1224400;2024-11-09 18:01:53.973;0.488;0.075
0,21;0,18;0,18;0;7766078;10076181;10152578;496703620;10405885;1215801;2024-11-09 18:04:24.532;0.488;0.073
0,20;0,15;0,17;2;7731020;10078055;10130690;505703479;10348931;1218518;2024-11-09 18:06:09.000;0.488;0.072
0,21;0,12;0,20;0;7764349;10077154;10138109;502531177;10352149;1218374;2024-11-09 18:06:59.791;0.489;0.071
0,19;0,19;0,23;2;7764947;10076303;10147228;508179131;10377342;1219917;2024-11-09 18:10:40.784;0.489;0.070
0,16;0,19;0,25;0;7755631;10077471;10144789;499695469;10346446;1216826;2024-11-09 18:11:53.701;0.489;0.069
0,13;0,20;0,27;2;7765494;10075876;10150390;511650883;10393689;1215847;2024-11-09 18:13:15.773;0.489;0.067
0,23;0,17;0,22;0;7767378;10077637;10135592;500662467;10326353;1217427;2024-11-09 18:14:38.611;0.489;0.066
0,15;0,17;0,23;1;7775391;10077805;10138518;493099168;10370745;1215966;2024-11-09 18:16:59.317;0.490;0.065
0,21;0,18;0,20;0;7749273;10076562;10145016;506204145;10304349;1215407;2024-11-09 18:19:26.009;0.490;0.064
0,14;0,23;0,21;3;7771067;10078279;10151854;504265897;10344407;1211279;2024-11-09 18:22:20.014;0.490;0.062
0,20;0,18;0,20;0;7759220;10078004;10142159;500733028;10299401;1209844;2024-11-09 18:24:32.993;0.490;0.060
0,14;0,23;0,24;0;7734305;10077246;10149737;501729359;10356168;1208091;2024-11-09 18:24:40.340;0.490;0.061
0,21;0,19;0,25;0;7761230;10076755;10142987;496217370;10309950;1209363;2024-11-09 18:26:37.518;0.491;0.059
0,08;0,19;0,25;0;7759978;10078212;10132089;497745362;10329878;1211265;2024-11-09 18:28:31.205;0.491;0.057
0,07;0,18;0,22;1;7765675;10078094;10144285;494599587;10324525;1207397;2024-11-09 18:32:20.451;0.491;0.056
0,20;0,20;0,20;0;7759000;10079003;10140230;493948771;10295019;1211510;2024-11-09 18:34:05.460;0.491;0.055
0,19;0,16;0,23;3;7770012;10076191;10142098;498552934;10308092;1205521;2024-11-09 18:36:59.692;0.491;0.054
0,16;0,20;0,18;0;7750348;10076363;10136834;501816815;10254336;1208143;2024-11-09 18:37:30.743;0.492;0.052
0,20;0,13;0,25;0;7764555;10075377;10138172;494574813;10269332;1209034;2024-11-09 18:38:36.831;0.492;0.051
0,11;0,21;0,21;0;7746507;10074854;10137525;502863221;10278704;1198730;2024-11-09 18:42:39.965;0.492;0.049
0,23;0,15;0,26;0;7751270;10077412;10132097;497630245;10306221;1205413;2024-11-09 18:42:49.921;0.492;0.050
0,11;0,26;0,21;0;7768353;10077860;10135245;495638276;10269026;1199375;2024-11-09 18:45:19.256;0.492;0.047
0,23;0,23;0,21;1;7738003;10077573;10152717;495884147;10242429;1201291;2024-11-09 18:48:25.595;0.493;0.046
0,23;0,16;0,23;0;7759770;10076803;10135674;500074051;10257889;1197907;2024-11-09 18:50:58.841;0.493;0.045
0,19;0,25;0,21;0;7774798;10075822;10140423;496817662;10280769;1202823;2024-11-09 18:51:24.350;0.493;0.044
0,15;0,22;0,22;0;7735216;10075924;10141905;496594591;10241520;1199463;2024-11-09 18:53:55.671;0.493;0.042
0,13;0,21;0,21;0;7761858;10077959;10129707;495367186;10230451;1196223;2024-11-09 18:55:10.300;0.493;0.041
0,20;0,26;0,24;3;7739899;10075958;10146395;493247865;10236862;1193232;2024-11-09 18:58:32.299;0.494;0.040
0,27;0,19;0,27;0;7740278;10077881;10140807;497110291;10277462;1198038;2024-11-09 18:59:58.649;0.494;0.039
0,28;0,22;0,18;0;7768398;10078879;10141057;500282461;10242518;1201068;2024-11-09 19:01:30.681;0.494;0.037
0,10;0,20;0,27;0;7765535;10077611;10147462;490101075;10239446;1191426;2024-11-09 19:02:39.994;0.494;0.036
0,22;0,13;0,25;0;7761783;10076531;10137196;498268194;10187200;1196184;2024-11-09 19:06:21.492;0.494;0.035
0,19;0,17;0,19;0;7756985;10076176;10133451;488369604;10189534;1189214;2024-11-09 19:08:45.777;0.495;0.034
0,17;0,19;0,20;0;7745119;10077055;10137011;499098387;10258857;1193985;2024-11-09 19:10:06.547;0.495;0.032
0,21;0,19;0,26;0;7758375;10076116;10143267;489979705;10207057;1189528;2024-11-09 19:11:18.079;0.495;0.031
0,13;0,23;0,17;0;7753525;10077771;10140416;486262952;10244678;1189709;2024-11-09 19:12:45.479;0.495;0.030
0,17;0,11;0,18;0;7760861;10076885;10142268;497476724;10186164;1192118;2024-11-09 19:17:00.006;0.495;0.029
0,06;0,11;0,19;0;7761670;10079214;10142300;493629515;10239249;1185746;2024-11-09 19:18:21.730;0.496;0.027
0,17;0,19;0,22;0;7765128;10075905;10140759;493669383;10169292;1187403;2024-11-09 19:19:41.596;0.496;0.026
0,22;0,21;0,20;0;7779143;10077853;10140567;490185774;10184020;1190812;2024-11-09 19:21:44.827;0.496;0.025
0,13;0,20;0,23;1;7742769;10075256;10142914;495893482;10137798;1187357;2024-11-09 19:22:38.593;0.496;0.024
0,13;0,18;0,24;2;7754077;10077635;10129544;490728902;10177537;1184127;2024-11-09 19:25:43.548;0.496;0.022
0,06;0,13;0,20;0;7760891;10077271;10137217;498518607;10219073;1183016;2024-11-09 19:26:30.869;0.497;0.021
0,16;0,15;0,18;0;7761711;10076490;10142521;488656245;10185886;1187396;2024-11-09 19:29:53.212;0.497;0.020
0,19;0,14;0,22;0;7763352;10075484;10137091;492141784;10145363;1184283;2024-11-09 19:32:54.370;0.497;0.019
0,08;0,23;0,16;0;7754185;10077990;10129709;496566662;10145117;1184364;2024-11-09 19:34:08.492;0.497;0.017
0,14;0,17;0,21;1;7745667;10076105;10131374;501904215;10178975;1179166;2024-11-09 19:35:37.453;0.497;0.016
0,15;0,14;0,21;0;7764105;10076491;10135945;494430698;10151314;1182287;2024-11-09 19:38:03.250;0.498;0.015
0,14;0,20;0,17;0;7747617;10075558;10134532;491654795;10129231;1177472;2024-11-09 19:39:06.994;0.498;0.014
0,02;0,16;0,18;0;7759480;10076544;10131702;490699829;10101306;1182909;2024-11-09 19:42:25.391;0.498;0.012
0,12;0,17;0,20;0;7744916;10075790;10146738;484536217;10106513;1178416;2024-11-09 19:43:06.270;0.498;0.011
0,23;0,14;0,17;0;7761181;10075801;10135733;491394003;10140770;1180665;2024-11-09 19:46:10.721;0.498;0.010
0,21;0,19;0,21;2;7776721;10077447;10137295;487197505;10083115;1180078;2024-11-09 19:47:53.413;0.499;0.009
0,09;0,14;0,20;0;7751416;10074910;10130524;495938829;10129339;1179499;2024-11-09 19:48:30.760;0.499;0.007
0,21;0,17;0,17;0;7755148;10076674;10141462;492128090;10121557;1177069;2024-11-09 19:51:10.072;0.499;0.006
0,23;0,21;0,22;0;7776841;10076976;10135798;491839693;10091703;1171878;2024-11-09 19:54:46.144;0.499;0.004
0,13;0,17;0,25;3;7734052;10076859;10132759;488710903;10073506;1178951;2024-11-09 19:54:51.862;0.499;0.005
0,21;0,18;0,24;0;7747809;10077709;10136286;493900676;10058051;1172207;2024-11-09 19:58:30.367;0.500;0.002
0,05;0,20;0,18;2;7734541;10077672;10139548;497363477;10047446;1168751;2024-11-09 19:59:31.211;0.500;0.001
0,20;0,15;0,23;0;7760889;10077420;10135257;494040605;10124834;1175020;2024-11-09 20:02:02.816;0.500;0.000
0,06;0,14;0,16;2;7757781;10076654;10130756;499497024;10117979;1168673;2024-11-09 20:03:40.225;0.500;-0.001
0,25;0,22;0,20;0;7740042;10076945;10127669;480167085;10040476;1168456;2024-11-09 20:04:33.016;0.500;-0.002
0,14;0,16;0,20;3;7762144;10077376;10138420;493804863;10113617;1167371;2024-11-09 20:08:20.564;0.501;-0.004
0,12;0,11;0,22;0;7764445;10076277;10140184;497131302;10061235;1169045;2024-11-09 20:10:55.867;0.501;-0.005
0,13;0,16;0,15;3;7736476;10077970;10128900;493911300;10110409;1164821;2024-11-09 20:12:58.643;0.501;-0.006
0,16;0,27;0,17;0;7753195;10077972;10131353;484818391;10031912;1171406;2024-11-09 20:12:58.866;0.501;-0.007
0,05;0,19;0,21;0;7758569;10075990;10127884;488888252;10003995;1167504;2024-11-09 20:15:05.864;0.501;-0.009
0,23;0,16;0,19;0;7756842;10076988;10138312;493802597;10044150;1162797;2024-11-09 20:17:38.165;0.502;-0.010
0,13;0,23;0,18;0;7759566;10076331;10132340;490452909;10045695;1166392;2024-11-09 20:19:15.118;0.502;-0.011
0,11;0,24;0,22;1;7776231;10075827;10137922;484515695;10038886;1162039;2024-11-09 20:20:39.586;0.502;-0.012
0,10;0,18;0,21;0;7763259;10076114;10132542;496672080;10077675;1167160;2024-11-09 20:24:31.012;0.502;-0.014
0,20;0,21;0,14;3;7759868;10075941;10130138;487360796;10017006;1165653;2024-11-09 20:25:34.107;0.502;-0.015
0,18;0,17;0,19;3;7758408;10077492;10129577;501661689;9999157;1157347;2024-11-09 20:27:56.020;0.503;-0.016
0,17;0,16;0,16;0;7754870;10076605;10139464;490432185;9975522;1165696;2024-11-09 20:30:26.690;0.503;-0.017
0,16;0,18;0,23;0;7753095;10077588;10134920;490170846;9963658;1159937;2024-11-09 20:32:47.086;0.503;-0.019
0,11;0,19;0,15;2;7761582;10076146;10130527;486416428;10053994;1155690;2024-11-09 20:34:03.559;0.503;-0.020
0,11;0,17;0,12;0;7742387;10075703;10136210;493216657;10042713;1156218;2024-11-09 20:35:42.039;0.503;-0.021
0,22;0,12;0,18;1;7768833;10075205;10146427;494139230;9961431;1157192;2024-11-09 20:37:36.578;0.504;-0.022
0,17;0,19;0,16;0;7765121;10075631;10135978;491457515;9948179;1152876;2024-11-09 20:40:55.541;0.504;-0.024
0,11;0,22;0,19;1;7767734;10076351;10140725;483154635;9999418;1157360;2024-11-09 20:42:06.502;0.504;-0.025
0,13;0,21;0,22;0;7745795;10075321;10134368;480059760;9976565;1156376;2024-11-09 20:44:42.293;0.504;-0.026
0,20;0,12;0,21;0;7747589;10076867;10122467;487314788;9935737;1154990;2024-11-09 20:46:42.164;0.504;-0.027
0,04;0,15;0,19;1;7746654;10077482;10136395;484004046;9991994;1158852;2024-11-09 20:48:22.108;0.505;-0.029
0,13;0,12;0,14;0;7769439;10077799;10131399;486676309;9938497;1153604;2024-11-09 20:49:22.046;0.505;-0.030
0,11;0,19;0,20;3;7750322;10076034;10134046;488658887;9938557;1151214;2024-11-09 20:52:07.118;0.505;-0.031
0,14;0,18;0,17;0;7763592;10077571;10129462;491947227;9909612;1152924;2024-11-09 20:52:32.915;0.505;-0.032
0,11;0,16;0,17;0;7749874;10076606;10131239;493875422;9991578;1151354;2024-11-09 20:56:59.704;0.505;-0.034
0,04;0,20;0,20;0;7773473;10078262;10132686;496880045;9986081;1150244;2024-11-09 20:58:45.950;0.506;-0.035
0,18;0,21;0,21;0;7754960;10077576;10123826;484407741;9989364;1152231;2024-11-09 20:59:35.945;0.506;-0.036
0,04;0,14;0,14;0;7758307;10076015;10137368;486460096;9946819;1150271;2024-11-09 21:02:51.869;0.506;-0.037
0,23;0,16;0,20;0;7740345;10075022;10127542;485985474;9972360;1147130;2024-11-09 21:04:35.201;0.506;-0.040
0,17;0,10;0,18;0;7764641;10075932;10138053;486175131;9949058;1146703;2024-11-09 21:04:38.136;0.506;-0.039
0,08;0,17;0,21;0;7762941;10074207;10127156;489611337;9894840;1145999;2024-11-09 21:08:45.653;0.507;-0.041
0,18;0,10;0,17;0;7758587;10075712;10125308;481811508;9869288;1145387;2024-11-09 21:10:40.744;0.507;-0.042
0,17;0,23;0,18;0;7736120;10076735;10132673;476939285;9914614;1148581;2024-11-09 21:12:56.436;0.507;-0.044
0,09;0,16;0,18;0;7752114;10074639;10140380;474072711;9949484;1148484;2024-11-09 21:13:47.026;0.507;-0.045
0,17;0,15;0,19;0;7760472;10075478;10134595;482496174;9944254;1138792;2024-11-09 21:16:30.914;0.507;-0.046
0,16;0,17;0,22;0;7755642;10074382;10135572;483219859;9891875;1139059;2024-11-09 21:18:27.737;0.508;-0.047
0,15;0,17;0,17;0;7765120;10077055;10138531;483939117;9871137;1137936;2024-11-09 21:20:18.559;0.508;-0.049
0,20;0,07;0,15;0;7753461;10077965;10130829;478746484;9931925;1144740;2024-11-09 21:21:01.711;0.508;-0.050
0,19;0,20;0,17;3;7735257;10077280;10128381;487263414;9839902;1142679;2024-11-09 21:23:25.310;0.508;-0.051
0,14;0,16;0,20;1;7752681;10076078;10135022;487975172;9826289;1137856;2024-11-09 21:26:28.019;0.508;-0.052
0,10;0,20;0,20;1;7731222;10076615;10131049;479315557;9911031;1136615;2024-11-09 21:26:30.372;0.509;-0.054
0,15;0,12;0,12;0;7756541;10077009;10130859;487229871;9903243;1141639;2024-11-09 21:30:04.623;0.509;-0.055
0,13;0,18;0,17;0;7749984;10076738;10133707;484139872;9842673;1135272;2024-11-09 21:32:39.841;0.509;-0.056
0,12;0,15;0,15;0;7747656;10075862;10129021;477045567;9842152;1140734;2024-11-09 21:34:17.537;0.509;-0.057
0,24;0,23;0,16;0;7764346;10075930;10130958;480635152;9856078;1133962;2024-11-09 21:35:53.087;0.509;-0.059
0,13;0,11;0,21;2;7751756;10076234;10125991;486781535;9836115;1130354;2024-11-09 21:37:36.688;0.510;-0.060
0,15;0,17;0,22;0;7745228;10075682;10132345;485684689;9823231;1132882;2024-11-09 21:39:18.486;0.510;-0.061
0,02;0,18;0,21;0;7747555;10074323;10136817;477158333;9836263;1130184;2024-11-09 21:40:45.183;0.510;-0.062
0,18;0,23;0,20;0;7747287;10076174;10134658;486219504;9821481;1134477;2024-11-09 21:43:09.358;0.510;-0.064
0,10;0,20;0,18;0;7747862;10076588;10132401;486750352;9802935;1136382;2024-11-09 21:45:27.120;0.510;-0.065
0,11;0,16;0,22;0;7757526;10075792;10130241;490327463;9804273;1131654;2024-11-09 21:47:49.882;0.511;-0.066
0,09;0,17;0,21;0;7747634;10076074;10130607;473840440;9815225;1125015;2024-11-09 21:49:05.219;0.511;-0.067
0,18;0,10;0,20;0;7742517;10077568;10130545;487043384;9855770;1130101;2024-11-09 21:52:00.302;0.511;-0.069
0,17;0,24;0,22;0;7733259;10077181;10126747;484441584;9766359;1132005;2024-11-09 21:53:22.773;0.511;-0.070
0,23;0,16;0,19;0;7758789;10076296;10128173;489992057;9845590;1127961;2024-11-09 21:54:51.558;0.511;-0.071
0,12;0,13;0,16;0;7759146;10076521;10119784;480656622;9765668;1128396;2024-11-09 21:57:07.727;0.512;-0.072
0,17;0,13;0,20;3;7746026;10077314;10130846;485686167;9833521;1126214;2024-11-09 21:59:37.520;0.512;-0.073
0,07;0,17;0,20;3;7753485;10075793;10127315;491967660;9783603;1121093;2024-11-09 22:00:34.577;0.512;-0.075
0,16;0,18;0,11;0;7759601;10074609;10137717;483266555;9798206;1126709;2024-11-09 22:03:02.415;0.512;-0.076
0,03;0,16;0,18;0;7752180;10077030;10117685;479832081;9800500;1127714;2024-11-09 22:06:24.080;0.512;-0.077
0,03;0,10;0,15;0;7779327;10075986;10134248;475533451;9809200;1122813;2024-11-09 22:06:41.656;0.512;-0.078
0,06;0,16;0,16;1;7761342;10076740;10134239;485933008;9727649;1117829;2024-11-09 22:09:55.663;0.513;-0.080
0,18;0,20;0,19;0;7747268;10074065;10126568;484135789;9762056;1126091;2024-11-09 22:10:42.373;0.513;-0.081
0,14;0,20;0,14;0;7748055;10076637;10133820;478371356;9742106;1119704;2024-11-09 22:13:13.450;0.513;-0.082
0,03;0,13;0,19;0;7747893;10075340;10128557;472832713;9789550;1124219;2024-11-09 22:14:53.841;0.513;-0.083
0,14;0,20;0,20;0;7757384;10075561;10128308;478084619;9754649;1114707;2024-11-09 22:17:08.513;0.513;-0.085
0,02;0,17;0,22;0;7750036;10075927;10127472;485046104;9772906;1120921;2024-11-09 22:19:05.370;0.514;-0.086
0,12;0,13;0,20;1;7747772;10077909;10128517;483754846;9735173;1112634;2024-11-09 22:21:05.430;0.514;-0.087
0,14;0,12;0,19;0;7749677;10074639;10131696;470372012;9683806;1112236;2024-11-09 22:24:14.714;0.514;-0.088
0,21;0,14;0,21;0;7742936;10076382;10131548;472323184;9688771;1114365;2024-11-09 22:25:16.880;0.514;-0.090
0,06;0,12;0,18;0;7741834;10076607;10118914;467698973;9718762;1113097;2024-11-09 22:28:10.651;0.514;-0.091
0,11;0,24;0,20;0;7747556;10075848;10120782;469292942;9705844;1110509;2024-11-09 22:30:17.970;0.515;-0.092
0,15;0,15;0,19;0;7760501;10076436;10131718;477855410;9722563;1110704;2024-11-09 22:32:24.014;0.515;-0.093
0,14;0,21;0,16;0;7752890;10075453;10131088;480509151;9664058;1110042;2024-11-09 22:32:38.310;0.515;-0.095
0,15;0,06;0,22;0;7753722;10075377;10123243;470588707;9670108;1112705;2024-11-09 22:37:00.453;0.515;-0.096
0,09;0,21;0,19;0;7719600;10076677;10130140;475587992;9696333;1112875;2024-11-09 22:37:07.259;0.515;-0.097
0,05;0,20;0,19;0;7744727;10075438;10129427;469949352;9662832;1114232;2024-11-09 22:38:45.346;0.516;-0.098
0,21;0,15;0,23;0;7766366;10077609;10128064;475892980;9661074;1113389;2024-11-09 22:42:41.757;0.516;-0.100
0,13;0,21;0,16;0;7749666;10075281;10136447;473719965;9722227;1113350;2024-11-09 22:43:38.443;0.516;-0.101
0,17;0,12;0,21;0;7753276;10075112;10118354;482995649;9690993;1109309;2024-11-09 22:45:21.230;0.516;-0.102
0,15;0,13;0,20;0;7754686;10077330;10123976;480689858;9685319;1108817;2024-11-09 22:48:03.092;0.516;-0.103
0,10;0,12;0,16;0;7740100;10074316;10129853;471975470;9613454;1102369;2024-11-09 22:50:50.463;0.517;-0.106
0,09;0,12;0,23;0;7732826;10075543;10127250;466516267;9655212;1101829;2024-11-09 22:50:57.772;0.517;-0.105
0,13;0,10;0,15;0;7763846;10074936;10130617;478163690;9681133;1106419;2024-11-09 22:54:52.061;0.517;-0.107
0,16;0,11;0,15;0;7743592;10076593;10122718;474662086;9611264;1103843;2024-11-09 22:55:30.305;0.517;-0.108
0,09;0,14;0,18;0;7763998;10076918;10120160;476921104;9613181;1098727;2024-11-09 22:58:02.181;0.517;-0.109
0,12;0,15;0,18;0;7765223;10076043;10121634;478824525;9662936;1098284;2024-11-09 23:00:27.051;0.518;-0.111
0,15;0,16;0,17;0;7735650;10077538;10129715;477807809;9633943;1104170;2024-11-09 23:01:36.197;0.518;-0.112
0,16;0,23;0,17;0;7745390;10076557;10120332;482579220;9666725;1098855;2024-11-09 23:03:45.753;0.518;-0.113
0,19;0,10;0,24;0;7749669;10077757;10127464;472018890;9671268;1096654;2024-11-09 23:04:32.269;0.518;-0.114
0,16;0,20;0,18;0;7741041;10075254;10123039;473586753;9645922;1103375;2024-11-09 23:06:30.554;0.518;-0.116
0,05;0,11;0,21;0;7739758;10077003;10134177;480090738;9597240;1094084;2024-11-09 23:10:13.966;0.519;-0.117
0,16;0,18;0,20;0;7737243;10076237;10118331;478819520;9607131;1095957;2024-11-09 23:10:34.155;0.519;-0.118
0,18;0,17;0,16;0;7755137;10077508;10116243;476549132;9611388;1099370;2024-11-09 23:14:24.044;0.519;-0.119
0,07;0,21;0,19;1;7746579;10075640;10113943;481451132;9554475;1101019;2024-11-09 23:16:59.044;0.519;-0.121
0,17;0,13;0,16;2;7778166;10075065;10130418;477832149;9561207;1091953;2024-11-09 23:17:28.705;0.519;-0.122
0,17;0,17;0,19;0;7746906;10075175;10125603;478045712;9572369;1093733;2024-11-09 23:20:19.094;0.520;-0.123
0,08;0,18;0,20;0;7752463;10075548;10130166;470531876;9547188;1098299;2024-11-09 23:22:15.219;0.520;-0.124
0,04;0,14;0,20;1;7764155;10075331;10123873;469722300;9584199;1092544;2024-11-09 23:24:33.270;0.520;-0.127
0,15;0,12;0,18;0;7739299;10076159;10119467;468477893;9611226;1094946;2024-11-09 23:24:53.757;0.520;-0.126
0,07;0,16;0,14;1;7758729;10074975;10136853;468096576;9609632;1090275;2024-11-09 23:27:28.753;0.520;-0.128
